year,occupation,age_bracket,count_k,pct_women,total_employed_k,women_count_k_approx,data_note
2015,CS & Math (all),age_16_19,20.0,24.7,4369.0,4.9,women_count estimated from occupation-level pct_women × age_bracket_total
2015,CS & Math (all),age_20_24,266.0,24.7,4369.0,65.7,women_count estimated from occupation-level pct_women × age_bracket_total
2015,CS & Math (all),age_25_34,1234.0,24.7,4369.0,304.8,women_count estimated from occupation-level pct_women × age_bracket_total
2015,CS & Math (all),age_35_44,1224.0,24.7,4369.0,302.3,women_count estimated from occupation-level pct_women × age_bracket_total
2015,CS & Math (all),age_45_54,951.0,24.7,4369.0,234.9,women_count estimated from occupation-level pct_women × age_bracket_total
2015,CS & Math (all),age_55_64,565.0,24.7,4369.0,139.6,women_count estimated from occupation-level pct_women × age_bracket_total
2015,CS & Math (all),age_65_plus,109.0,24.7,4369.0,26.9,women_count estimated from occupation-level pct_women × age_bracket_total
2015,CS & Math (all),total,4369.0,24.7,4369.0,1079.1,women_count estimated from occupation-level pct_women × age_bracket_total
2016,CS & Math (all),age_16_19,29.0,25.5,4601.0,7.4,women_count estimated from occupation-level pct_women × age_bracket_total
2016,CS & Math (all),age_20_24,279.0,25.5,4601.0,71.1,women_count estimated from occupation-level pct_women × age_bracket_total
2016,CS & Math (all),age_25_34,1332.0,25.5,4601.0,339.7,women_count estimated from occupation-level pct_women × age_bracket_total
2016,CS & Math (all),age_35_44,1250.0,25.5,4601.0,318.8,women_count estimated from occupation-level pct_women × age_bracket_total
2016,CS & Math (all),age_45_54,995.0,25.5,4601.0,253.7,women_count estimated from occupation-level pct_women × age_bracket_total
2016,CS & Math (all),age_55_64,592.0,25.5,4601.0,151.0,women_count estimated from occupation-level pct_women × age_bracket_total
2016,CS & Math (all),age_65_plus,123.0,25.5,4601.0,31.4,women_count estimated from occupation-level pct_women × age_bracket_total
2016,CS & Math (all),total,4601.0,25.5,4601.0,1173.3,women_count estimated from occupation-level pct_women × age_bracket_total
2017,CS & Math (all),age_16_19,28.0,25.5,4804.0,7.1,women_count estimated from occupation-level pct_women × age_bracket_total
2017,CS & Math (all),age_20_24,284.0,25.5,4804.0,72.4,women_count estimated from occupation-level pct_women × age_bracket_total
2017,CS & Math (all),age_25_34,1408.0,25.5,4804.0,359.0,women_count estimated from occupation-level pct_women × age_bracket_total
2017,CS & Math (all),age_35_44,1286.0,25.5,4804.0,327.9,women_count estimated from occupation-level pct_women × age_bracket_total
2017,CS & Math (all),age_45_54,1020.0,25.5,4804.0,260.1,women_count estimated from occupation-level pct_women × age_bracket_total
2017,CS & Math (all),age_55_64,642.0,25.5,4804.0,163.7,women_count estimated from occupation-level pct_women × age_bracket_total
2017,CS & Math (all),age_65_plus,135.0,25.5,4804.0,34.4,women_count estimated from occupation-level pct_women × age_bracket_total
2017,CS & Math (all),total,4804.0,25.5,4804.0,1225.0,women_count estimated from occupation-level pct_women × age_bracket_total
2018,CS & Math (all),age_16_19,25.0,25.6,5126.0,6.4,women_count estimated from occupation-level pct_women × age_bracket_total
2018,CS & Math (all),age_20_24,330.0,25.6,5126.0,84.5,women_count estimated from occupation-level pct_women × age_bracket_total
2018,CS & Math (all),age_25_34,1563.0,25.6,5126.0,400.1,women_count estimated from occupation-level pct_women × age_bracket_total
2018,CS & Math (all),age_35_44,1333.0,25.6,5126.0,341.2,women_count estimated from occupation-level pct_women × age_bracket_total
2018,CS & Math (all),age_45_54,1038.0,25.6,5126.0,265.7,women_count estimated from occupation-level pct_women × age_bracket_total
2018,CS & Math (all),age_55_64,692.0,25.6,5126.0,177.2,women_count estimated from occupation-level pct_women × age_bracket_total
2018,CS & Math (all),age_65_plus,146.0,25.6,5126.0,37.4,women_count estimated from occupation-level pct_women × age_bracket_total
2018,CS & Math (all),total,5126.0,25.6,5126.0,1312.3,women_count estimated from occupation-level pct_women × age_bracket_total
2019,CS & Math (all),age_16_19,26.0,25.8,5352.0,6.7,women_count estimated from occupation-level pct_women × age_bracket_total
2019,CS & Math (all),age_20_24,354.0,25.8,5352.0,91.3,women_count estimated from occupation-level pct_women × age_bracket_total
2019,CS & Math (all),age_25_34,1593.0,25.8,5352.0,411.0,women_count estimated from occupation-level pct_women × age_bracket_total
2019,CS & Math (all),age_35_44,1414.0,25.8,5352.0,364.8,women_count estimated from occupation-level pct_women × age_bracket_total
2019,CS & Math (all),age_45_54,1092.0,25.8,5352.0,281.7,women_count estimated from occupation-level pct_women × age_bracket_total
2019,CS & Math (all),age_55_64,700.0,25.8,5352.0,180.6,women_count estimated from occupation-level pct_women × age_bracket_total
