year,occupation,age_bracket,count_k
2015,CS & Math (all),age_16_19,20.0
2015,CS & Math (all),age_20_24,266.0
2015,CS & Math (all),age_25_34,1234.0
2015,CS & Math (all),age_35_44,1224.0
2015,CS & Math (all),age_45_54,951.0
2015,CS & Math (all),age_55_64,565.0
2015,CS & Math (all),age_65_plus,109.0
2015,CS & Math (all),total,4369.0
2016,CS & Math (all),age_16_19,29.0
2016,CS & Math (all),age_20_24,279.0
2016,CS & Math (all),age_25_34,1332.0
2016,CS & Math (all),age_35_44,1250.0
2016,CS & Math (all),age_45_54,995.0
2016,CS & Math (all),age_55_64,592.0
2016,CS & Math (all),age_65_plus,123.0
2016,CS & Math (all),total,4601.0
2017,CS & Math (all),age_16_19,28.0
2017,CS & Math (all),age_20_24,284.0
2017,CS & Math (all),age_25_34,1408.0
2017,CS & Math (all),age_35_44,1286.0
2017,CS & Math (all),age_45_54,1020.0
2017,CS & Math (all),age_55_64,642.0
2017,CS & Math (all),age_65_plus,135.0
2017,CS & Math (all),total,4804.0
2018,CS & Math (all),age_16_19,25.0
2018,CS & Math (all),age_20_24,330.0
2018,CS & Math (all),age_25_34,1563.0
2018,CS & Math (all),age_35_44,1333.0
2018,CS & Math (all),age_45_54,1038.0
2018,CS & Math (all),age_55_64,692.0
2018,CS & Math (all),age_65_plus,146.0
2018,CS & Math (all),total,5126.0
2019,CS & Math (all),age_16_19,26.0
2019,CS & Math (all),age_20_24,354.0
2019,CS & Math (all),age_25_34,1593.0
2019,CS & Math (all),age_35_44,1414.0
2019,CS & Math (all),age_45_54,1092.0
2019,CS & Math (all),age_55_64,700.0
2019,CS & Math (all),age_65_plus,173.0
2019,CS & Math (all),total,5352.0
2020,CS & Math (all),age_16_19,23.0
2020,CS & Math (all),age_20_24,335.0
2020,CS & Math (all),age_25_34,1692.0
2020,CS & Math (all),age_35_44,1515.0
2020,CS & Math (all),age_45_54,1095.0
2020,CS & Math (all),age_55_64,785.0
2020,CS & Math (all),age_65_plus,157.0
2020,CS & Math (all),total,5603.0
2021,CS & Math (all),age_16_19,28.0
2021,CS & Math (all),age_20_24,347.0
2021,CS & Math (all),age_25_34,1693.0
2021,CS & Math (all),age_35_44,1489.0
2021,CS & Math (all),age_45_54,1135.0
2021,CS & Math (all),age_55_64,815.0
2021,CS & Math (all),age_65_plus,181.0
2021,CS & Math (all),total,5688.0
2022,CS & Math (all),age_16_19,32.0
2022,CS & Math (all),age_20_24,378.0
2022,CS & Math (all),age_25_34,1896.0
2022,CS & Math (all),age_35_44,1587.0
2022,CS & Math (all),age_45_54,1158.0
2022,CS & Math (all),age_55_64,905.0
2022,CS & Math (all),age_65_plus,216.0
2022,CS & Math (all),total,6171.0
2023,CS & Math (all),age_16_19,35.0
2023,CS & Math (all),age_20_24,387.0
2023,CS & Math (all),age_25_34,1949.0
2023,CS & Math (all),age_35_44,1746.0
2023,CS & Math (all),age_45_54,1272.0
2023,CS & Math (all),age_55_64,895.0
2023,CS & Math (all),age_65_plus,218.0
2023,CS & Math (all),total,6502.0
2024,CS & Math (all),age_16_19,27.0
2024,CS & Math (all),age_20_24,408.0
2024,CS & Math (all),age_25_34,1875.0
2024,CS & Math (all),age_35_44,1712.0
2024,CS & Math (all),age_45_54,1266.0
2024,CS & Math (all),age_55_64,886.0
2024,CS & Math (all),age_65_plus,212.0
2024,CS & Math (all),total,6386.0
2015,CS Managers,age_16_19,1.0
2015,CS Managers,age_20_24,11.0
2015,CS Managers,age_25_34,104.0
2015,CS Managers,age_35_44,217.0
2015,CS Managers,age_45_54,197.0
2015,CS Managers,age_55_64,102.0
2015,CS Managers,age_65_plus,20.0
2015,CS Managers,total,652.0
2016,CS Managers,age_16_19,1.0
2016,CS Managers,age_20_24,9.0
2016,CS Managers,age_25_34,95.0
2016,CS Managers,age_35_44,178.0
2016,CS Managers,age_45_54,202.0
2016,CS Managers,age_55_64,95.0
2016,CS Managers,age_65_plus,18.0
2016,CS Managers,total,597.0
2017,CS Managers,age_16_19,0.0
2017,CS Managers,age_20_24,13.0
2017,CS Managers,age_25_34,95.0
2017,CS Managers,age_35_44,192.0
2017,CS Managers,age_45_54,192.0
2017,CS Managers,age_55_64,124.0
2017,CS Managers,age_65_plus,14.0
2017,CS Managers,total,630.0
2018,CS Managers,age_16_19,0.0
2018,CS Managers,age_20_24,10.0
2018,CS Managers,age_25_34,96.0
2018,CS Managers,age_35_44,188.0
2018,CS Managers,age_45_54,191.0
2018,CS Managers,age_55_64,122.0
2018,CS Managers,age_65_plus,16.0
2018,CS Managers,total,623.0
2019,CS Managers,age_16_19,1.0
2019,CS Managers,age_20_24,6.0
2019,CS Managers,age_25_34,115.0
2019,CS Managers,age_35_44,197.0
2019,CS Managers,age_45_54,198.0
2019,CS Managers,age_55_64,116.0
2019,CS Managers,age_65_plus,23.0
2019,CS Managers,total,654.0
2020,CS Managers,age_16_19,0.0
2020,CS Managers,age_20_24,7.0
2020,CS Managers,age_25_34,128.0
2020,CS Managers,age_35_44,222.0
2020,CS Managers,age_45_54,226.0
2020,CS Managers,age_55_64,138.0
2020,CS Managers,age_65_plus,23.0
2020,CS Managers,total,744.0
2021,CS Managers,age_16_19,2.0
2021,CS Managers,age_20_24,9.0
2021,CS Managers,age_25_34,113.0
2021,CS Managers,age_35_44,209.0
2021,CS Managers,age_45_54,212.0
2021,CS Managers,age_55_64,149.0
2021,CS Managers,age_65_plus,21.0
2021,CS Managers,total,715.0
2022,CS Managers,age_16_19,2.0
2022,CS Managers,age_20_24,10.0
2022,CS Managers,age_25_34,132.0
2022,CS Managers,age_35_44,225.0
2022,CS Managers,age_45_54,222.0
2022,CS Managers,age_55_64,141.0
2022,CS Managers,age_65_plus,31.0
2022,CS Managers,total,764.0
2023,CS Managers,age_16_19,0.0
2023,CS Managers,age_20_24,8.0
2023,CS Managers,age_25_34,156.0
