year,track,cip4,AWLEVEL,award_label,CTOTALT,CTOTALW,CTOTALM,pct_women
2010,Computer Science,11.07,3,Associate's,858,209,649,24.4
2013,Computer Science,11.07,3,Associate's,1009,136,873,13.5
2016,Computer Science,11.07,3,Associate's,1694,250,1444,14.8
2019,Computer Science,11.07,3,Associate's,2944,501,2443,17.0
2022,Computer Science,11.07,3,Associate's,4463,841,3622,18.8
2024,Computer Science,11.07,3,Associate's,5649,1174,4475,20.8
2010,Computer Science,11.07,5,Bachelor's,8342,1069,7273,12.8
2013,Computer Science,11.07,5,Bachelor's,11623,1542,10081,13.3
2016,Computer Science,11.07,5,Bachelor's,19902,3396,16506,17.1
2019,Computer Science,11.07,5,Bachelor's,31737,6299,25438,19.8
2022,Computer Science,11.07,5,Bachelor's,41944,9090,32854,21.7
2024,Computer Science,11.07,5,Bachelor's,46155,9991,36164,21.6
2010,Computer Science,11.07,17,Doctorate,746,132,614,17.7
2013,Computer Science,11.07,17,Doctorate,865,134,731,15.5
2016,Computer Science,11.07,17,Doctorate,924,158,766,17.1
2019,Computer Science,11.07,17,Doctorate,1129,225,904,19.9
2022,Computer Science,11.07,17,Doctorate,1386,315,1071,22.7
2024,Computer Science,11.07,17,Doctorate,1628,371,1257,22.8
2010,Computer Science,11.07,7,Master's,5203,1220,3983,23.4
2013,Computer Science,11.07,7,Master's,6525,1516,5009,23.2
2016,Computer Science,11.07,7,Master's,12489,3455,9034,27.7
2019,Computer Science,11.07,7,Master's,11600,3260,8340,28.1
2022,Computer Science,11.07,7,Master's,12080,3441,8639,28.5
2024,Computer Science,11.07,7,Master's,25590,7851,17739,30.7
2010,Cybersecurity,11.10,3,Associate's,4631,954,3677,20.6
2013,Cybersecurity,11.10,3,Associate's,7695,1639,6056,21.3
2016,Cybersecurity,11.10,3,Associate's,5898,1143,4755,19.4
2019,Cybersecurity,11.10,3,Associate's,6744,1159,5585,17.2
2022,Cybersecurity,11.10,3,Associate's,7822,1602,6220,20.5
2024,Cybersecurity,11.10,3,Associate's,10031,2238,7793,22.3
2010,Cybersecurity,11.10,5,Bachelor's,3070,595,2475,19.4
2013,Cybersecurity,11.10,5,Bachelor's,6612,1116,5496,16.9
2016,Cybersecurity,11.10,5,Bachelor's,5252,852,4400,16.2
2019,Cybersecurity,11.10,5,Bachelor's,7229,1237,5992,17.1
2022,Cybersecurity,11.10,5,Bachelor's,10101,1921,8180,19.0
2024,Cybersecurity,11.10,5,Bachelor's,14773,2854,11919,19.3
2010,Cybersecurity,11.10,17,Doctorate,1,1,0,100.0
2013,Cybersecurity,11.10,17,Doctorate,22,4,18,18.2
2016,Cybersecurity,11.10,17,Doctorate,25,6,19,24.0
2019,Cybersecurity,11.10,17,Doctorate,62,12,50,19.4
2022,Cybersecurity,11.10,17,Doctorate,125,23,102,18.4
2024,Cybersecurity,11.10,17,Doctorate,101,27,74,26.7
2010,Cybersecurity,11.10,7,Master's,870,191,679,22.0
2013,Cybersecurity,11.10,7,Master's,2010,454,1556,22.6
2016,Cybersecurity,11.10,7,Master's,3295,881,2414,26.7
2019,Cybersecurity,11.10,7,Master's,7824,2070,5754,26.5
2022,Cybersecurity,11.10,7,Master's,9929,2944,6985,29.7
2024,Cybersecurity,11.10,7,Master's,13573,3909,9664,28.8
