year,track,cip4,AWLEVEL,award_label,CTOTALT,CTOTALW,CTOTALM,pct_women
2010,Computer Engineering,14.09,3,Associate's,23,0,23,0.0
2010,Computer Engineering,14.09,5,Bachelor's,4589,403,4186,8.8
2010,Computer Engineering,14.09,7,Master's,3146,736,2410,23.4
2010,Computer Engineering,14.09,17,Doctorate,306,47,259,15.4
2010,Computer Programming,11.02,3,Associate's,2299,577,1722,25.1
2010,Computer Programming,11.02,5,Bachelor's,934,157,777,16.8
2010,Computer Programming,11.02,7,Master's,91,24,67,26.4
2010,Computer Programming,11.02,17,Doctorate,0,0,0,
2010,Computer Science,11.07,3,Associate's,858,209,649,24.4
2010,Computer Science,11.07,5,Bachelor's,8342,1069,7273,12.8
2010,Computer Science,11.07,7,Master's,5203,1220,3983,23.4
2010,Computer Science,11.07,17,Doctorate,746,132,614,17.7
2010,Cybersecurity,11.10,3,Associate's,4631,954,3677,20.6
2010,Cybersecurity,11.10,5,Bachelor's,3070,595,2475,19.4
2010,Cybersecurity,11.10,7,Master's,870,191,679,22.0
2010,Cybersecurity,11.10,17,Doctorate,1,1,0,100.0
2010,Electrical Engineering,14.10,3,Associate's,195,18,177,9.2
2010,Electrical Engineering,14.10,5,Bachelor's,11798,1346,10452,11.4
2010,Electrical Engineering,14.10,7,Master's,9315,1740,7575,18.7
2010,Electrical Engineering,14.10,17,Doctorate,1873,334,1539,17.8
2010,Engineering (Other),14.01,3,Associate's,1871,256,1615,13.7
2010,Engineering (Other),14.01,5,Bachelor's,2088,404,1684,19.3
2010,Engineering (Other),14.01,7,Master's,2132,453,1679,21.2
2010,Engineering (Other),14.01,17,Doctorate,337,81,256,24.0
2010,Engineering (Other),14.02,3,Associate's,2,0,2,0.0
2010,Engineering (Other),14.02,5,Bachelor's,3247,465,2782,14.3
2010,Engineering (Other),14.02,7,Master's,1187,162,1025,13.6
2010,Engineering (Other),14.02,17,Doctorate,235,40,195,17.0
2010,Engineering (Other),14.03,3,Associate's,7,1,6,14.3
2010,Engineering (Other),14.03,5,Bachelor's,836,209,627,25.0
2010,Engineering (Other),14.03,7,Master's,241,89,152,36.9
2010,Engineering (Other),14.03,17,Doctorate,93,27,66,29.0
2010,Engineering (Other),14.04,3,Associate's,9,3,6,33.3
2010,Engineering (Other),14.04,5,Bachelor's,799,188,611,23.5
2010,Engineering (Other),14.04,7,Master's,145,42,103,29.0
2010,Engineering (Other),14.04,17,Doctorate,6,2,4,33.3
2010,Engineering (Other),14.05,3,Associate's,11,2,9,18.2
2010,Engineering (Other),14.05,5,Bachelor's,3854,1435,2419,37.2
2010,Engineering (Other),14.05,7,Master's,1382,556,826,40.2
2010,Engineering (Other),14.05,17,Doctorate,749,290,459,38.7
2010,Engineering (Other),14.06,5,Bachelor's,69,25,44,36.2
2010,Engineering (Other),14.06,7,Master's,10,1,9,10.0
2010,Engineering (Other),14.06,17,Doctorate,11,7,4,63.6
2010,Engineering (Other),14.07,3,Associate's,9,4,5,44.4
2010,Engineering (Other),14.07,5,Bachelor's,5866,2022,3844,34.5
2010,Engineering (Other),14.07,7,Master's,1054,351,703,33.3
2010,Engineering (Other),14.07,17,Doctorate,837,246,591,29.4
2010,Engineering (Other),14.08,3,Associate's,30,2,28,6.7
2010,Engineering (Other),14.08,5,Bachelor's,11636,2388,9248,20.5
2010,Engineering (Other),14.08,7,Master's,4126,1091,3035,26.4
2010,Engineering (Other),14.08,17,Doctorate,723,188,535,26.0
2010,Engineering (Other),14.11,3,Associate's,18,3,15,16.7
2010,Engineering (Other),14.11,5,Bachelor's,80,18,62,22.5
2010,Engineering (Other),14.11,7,Master's,53,8,45,15.1
2010,Engineering (Other),14.11,17,Doctorate,26,3,23,11.5
2010,Engineering (Other),14.12,5,Bachelor's,458,63,395,13.8
2010,Engineering (Other),14.12,7,Master's,85,11,74,12.9
2010,Engineering (Other),14.12,17,Doctorate,37,9,28,24.3
2010,Engineering (Other),14.13,3,Associate's,124,9,115,7.3
2010,Engineering (Other),14.13,5,Bachelor's,419,96,323,22.9
2010,Engineering (Other),14.13,7,Master's,307,74,233,24.1
2010,Engineering (Other),14.13,17,Doctorate,106,24,82,22.6
2010,Engineering (Other),14.14,3,Associate's,0,0,0,
2010,Engineering (Other),14.14,5,Bachelor's,662,287,375,43.4
2010,Engineering (Other),14.14,7,Master's,613,254,359,41.4
2010,Engineering (Other),14.14,17,Doctorate,122,56,66,45.9
2010,Engineering (Other),14.18,3,Associate's,0,0,0,
2010,Engineering (Other),14.18,5,Bachelor's,922,218,704,23.6
2010,Engineering (Other),14.18,7,Master's,663,182,481,27.5
2010,Engineering (Other),14.18,17,Doctorate,513,115,398,22.4
2010,Engineering (Other),14.19,3,Associate's,119,12,107,10.1
2010,Engineering (Other),14.19,5,Bachelor's,18867,2160,16707,11.4
2010,Engineering (Other),14.19,7,Master's,4872,689,4183,14.1
2010,Engineering (Other),14.19,17,Doctorate,999,122,877,12.2
2010,Engineering (Other),14.20,5,Bachelor's,84,27,57,32.1
2010,Engineering (Other),14.20,7,Master's,38,9,29,23.7
2010,Engineering (Other),14.20,17,Doctorate,12,1,11,8.3
2010,Engineering (Other),14.21,3,Associate's,0,0,0,
2010,Engineering (Other),14.21,5,Bachelor's,197,17,180,8.6
2010,Engineering (Other),14.21,7,Master's,29,3,26,10.3
2010,Engineering (Other),14.21,17,Doctorate,4,0,4,0.0
2010,Engineering (Other),14.22,5,Bachelor's,341,37,304,10.9
2010,Engineering (Other),14.22,7,Master's,31,6,25,19.4
2010,Engineering (Other),14.22,17,Doctorate,8,1,7,12.5
2010,Engineering (Other),14.23,5,Bachelor's,410,70,340,17.1
2010,Engineering (Other),14.23,7,Master's,276,43,233,15.6
2010,Engineering (Other),14.23,17,Doctorate,111,22,89,19.8
2010,Engineering (Other),14.24,5,Bachelor's,193,32,161,16.6
2010,Engineering (Other),14.24,7,Master's,88,19,69,21.6
2010,Engineering (Other),14.24,17,Doctorate,13,0,13,0.0
2010,Engineering (Other),14.25,5,Bachelor's,779,120,659,15.4
2010,Engineering (Other),14.25,7,Master's,289,56,233,19.4
2010,Engineering (Other),14.25,17,Doctorate,37,7,30,18.9
2010,Engineering (Other),14.27,3,Associate's,1,0,1,0.0
2010,Engineering (Other),14.27,5,Bachelor's,640,153,487,23.9
2010,Engineering (Other),14.27,7,Master's,1561,335,1226,21.5
2010,Engineering (Other),14.27,17,Doctorate,92,18,74,19.6
2010,Engineering (Other),14.28,5,Bachelor's,219,149,70,68.0
2010,Engineering (Other),14.28,7,Master's,43,23,20,53.5
2010,Engineering (Other),14.28,17,Doctorate,32,18,14,56.2
2010,Engineering (Other),14.32,5,Bachelor's,75,15,60,20.0
2010,Engineering (Other),14.32,7,Master's,90,28,62,31.1
2010,Engineering (Other),14.32,17,Doctorate,56,17,39,30.4
2010,Engineering (Other),14.33,3,Associate's,9,2,7,22.2
2010,Engineering (Other),14.33,5,Bachelor's,433,51,382,11.8
2010,Engineering (Other),14.33,7,Master's,88,23,65,26.1
2010,Engineering (Other),14.34,5,Bachelor's,34,5,29,14.7
2010,Engineering (Other),14.34,7,Master's,3,0,3,0.0
2010,Engineering (Other),14.34,17,Doctorate,2,0,2,0.0
2010,Engineering (Other),14.35,3,Associate's,44,8,36,18.2
2010,Engineering (Other),14.35,5,Bachelor's,3178,973,2205,30.6
2010,Engineering (Other),14.35,7,Master's,1891,488,1403,25.8
2010,Engineering (Other),14.35,17,Doctorate,240,61,179,25.4
2010,Engineering (Other),14.36,3,Associate's,27,1,26,3.7
2010,Engineering (Other),14.36,5,Bachelor's,294,30,264,10.2
2010,Engineering (Other),14.36,7,Master's,354,68,286,19.2
2010,Engineering (Other),14.36,17,Doctorate,11,2,9,18.2
2010,Engineering (Other),14.37,3,Associate's,7,2,5,28.6
