year,race,age_bracket,n,pct_women
2019,Asian,25-34,194,17.4
2019,Asian,35-44,100,35.0
2019,Asian,45-54,80,42.4
2019,Asian,55-64,75,39.9
2019,Black,25-34,309,15.1
2019,Black,35-44,160,20.5
2019,Black,45-54,104,26.7
2019,Black,55-64,63,20.1
2019,Hispanic,Under 25,43,34.0
2019,Hispanic,25-34,1525,34.3
2019,Hispanic,35-44,816,28.3
2019,Hispanic,45-54,476,39.2
2019,Hispanic,55-64,222,22.4
2019,Hispanic,65+,32,10.7
2019,Multiracial,25-34,172,40.6
2019,Multiracial,35-44,48,13.4
2019,Multiracial,45-54,34,33.0
2019,Multiracial,55-64,17,41.4
2019,White,Under 25,53,36.6
2019,White,25-34,1737,18.5
2019,White,35-44,1076,19.2
2019,White,45-54,881,24.7
2019,White,55-64,686,26.6
2019,White,65+,214,33.4
2023,Asian,Under 25,42,25.7
2023,Asian,25-34,219,43.1
2023,Asian,35-44,179,27.9
2023,Asian,45-54,143,24.4
2023,Asian,55-64,116,38.8
2023,Asian,65+,28,32.3
2023,Black,Under 25,97,43.4
2023,Black,25-34,436,24.1
2023,Black,35-44,270,15.6
2023,Black,45-54,143,26.1
2023,Black,55-64,92,28.3
2023,Black,65+,21,10.4
2023,Hispanic,Under 25,207,33.2
2023,Hispanic,25-34,1407,34.7
2023,Hispanic,35-44,952,29.3
2023,Hispanic,45-54,490,30.4
2023,Hispanic,55-64,243,26.5
2023,Hispanic,65+,44,32.8
2023,Multiracial,Under 25,25,24.7
2023,Multiracial,25-34,185,23.4
2023,Multiracial,35-44,81,8.6
2023,Multiracial,45-54,44,14.3
2023,White,Under 25,266,24.3
2023,White,25-34,1710,23.7
2023,White,35-44,1240,24.1
2023,White,45-54,812,25.1
2023,White,55-64,695,27.5
2023,White,65+,199,21.4
